time	X11	X12	X13	X14	X21	X22	X31	X32	X33	Y1	Y2	Y3
0	12.2	350.0	0.0	100.0	350.0	0.0	350.0	0.0	100.0	12.7	47.0	12.2
10	12.2	75.00169	0.0	557.69643	75.00169	0.0	75.00169	0.0	557.69643	12.199969	46.984876	12.2
20	12.2	75.0	0.0	565.80785	75.0	0.0	75.0	0.0	565.80785	12.19993	46.973292	12.2
30	12.2	75.0	0.0	530.62009	75.0	0.0	75.0	0.0	530.62009	12.199893	46.961707	12.2
40	12.2	75.0	0.0	484.50339	75.0	0.0	75.0	0.0	484.50339	12.199859	46.950123	12.2
50	12.2	75.0	0.0	469.85723	75.0	0.0	75.0	0.0	469.85723	12.199827	46.938538	12.2
60	12.2	75.0	0.0	561.99168	75.0	0.0	75.0	0.0	561.99168	12.199791	46.926954	12.2
70	12.2	75.0	0.0	609.37216	75.0	0.0	75.0	0.0	609.37216	12.199751	46.91537	12.2
80	12.2	75.0	0.0	630.27869	75.0	0.0	75.0	0.0	630.27869	12.199709	46.903785	12.2
90	12.2	75.0	0.0	605.49271	75.0	0.0	75.0	0.0	605.49271	12.199667	46.892201	12.2
100	12.2	160.36406	0.0	557.80234	160.36406	0.0	160.36406	0.0	557.80234	12.199628	46.877422	12.2
110	12.2	200.96087	0.0	504.89157	200.96087	0.0	200.96087	0.0	504.89157	12.199593	46.848964	12.2
120	12.2	215.6578	0.0	523.67625	215.6578	0.0	215.6578	0.0	523.67625	12.199559	46.816603	12.2
130	12.2	360.60047	0.0	570.72479	360.60047	0.0	360.60047	0.0	570.72479	12.525715	46.773436	12.2
140	12.2	260.22739	0.0	602.77981	260.22739	0.0	260.22739	0.0	602.77981	12.498052	46.724227	12.2
150	12.2	279.25866	0.0	590.37006	279.25866	0.0	279.25866	0.0	590.37006	12.507104	46.682329	12.2
160	12.2	215.16885	0.0	602.94784	215.16885	0.0	215.16885	0.0	602.94784	12.496181	46.643339	12.2
170	12.2	299.49942	0.0	566.23049	299.49942	0.0	299.49942	0.0	566.23049	12.527588	46.604194	12.2
180	12.2	272.71651	0.0	572.01575	272.71651	0.0	272.71651	0.0	572.01575	12.524087	46.560332	12.2
190	12.2	311.58095	0.0	614.98731	311.58095	0.0	311.58095	0.0	614.98731	12.488892	46.515824	12.2
200	12.2	338.47636	0.0	655.63733	338.47636	0.0	338.47636	0.0	655.63733	12.454361	46.46529	12.2
210	12.2	348.47104	0.0	588.49092	348.47104	0.0	348.47104	0.0	588.49092	12.508993	46.412111	12.2
220	12.2	174.45412	0.0	548.86982	174.45412	0.0	174.45412	0.0	548.86982	12.20065	46.369889	12.2
230	12.2	75.033218	0.0	505.10339	75.033218	0.0	75.033218	0.0	505.10339	12.199496	46.353459	12.2
240	12.2	75.0	0.0	497.4272	75.0	0.0	75.0	0.0	497.4272	12.199463	46.341874	12.2
250	12.2	75.0	0.0	532.89869	75.0	0.0	75.0	0.0	532.89869	12.199428	46.33029	12.2
260	12.2	75.0	0.0	547.14039	75.0	0.0	75.0	0.0	547.14039	12.199393	46.318705	12.2
270	12.2	75.0	0.0	561.38268	75.0	0.0	75.0	0.0	561.38268	12.199355	46.307121	12.2
280	12.2	256.70827	0.0	530.76766	256.70827	0.0	256.70827	0.0	530.76766	12.555873	46.283618	12.2
290	12.2	355.94683	0.0	483.4412	355.94683	0.0	355.94683	0.0	483.4412	12.595987	46.235077	12.2
300	12.2	392.77084	0.0	462.91503	392.77084	0.0	392.77084	0.0	462.91503	12.614268	46.176788	12.2
310	12.2	254.98713	0.0	500.01185	254.98713	0.0	254.98713	0.0	500.01185	12.584502	46.125066	12.2
320	12.2	165.21684	0.0	547.71121	165.21684	0.0	165.21684	0.0	547.71121	12.199304	46.093721	12.2
330	12.2	131.88072	0.0	574.109	131.88072	0.0	131.88072	0.0	574.109	12.199266	46.071198	12.2
340	12.2	217.26696	0.0	554.93574	217.26696	0.0	217.26696	0.0	554.93574	12.199227	46.045373	12.2
350	12.2	273.89797	0.0	507.81924	273.89797	0.0	273.89797	0.0	507.81924	12.575502	46.006743	12.2
360	12.2	294.93234	0.0	556.82592	294.93234	0.0	294.93234	0.0	556.82592	12.535623	45.962546	12.2
370	12.2	227.41489	0.0	569.64656	227.41489	0.0	227.41489	0.0	569.64656	12.526225	45.92135	12.2
380	12.2	183.14111	0.0	615.23769	183.14111	0.0	183.14111	0.0	615.23769	12.199198	45.890188	12.2
390	12.2	166.6988	0.0	651.68669	166.6988	0.0	166.6988	0.0	651.68669	12.199155	45.863379	12.2
400	12.2	178.66905	0.0	645.48253	178.66905	0.0	178.66905	0.0	645.48253	12.199111	45.836964	12.2
410	12.2	187.72644	0.0	609.50081	187.72644	0.0	187.72644	0.0	609.50081	12.199068	45.808557	12.2
420	12.2	191.09556	0.0	569.07369	191.09556	0.0	191.09556	0.0	569.07369	12.199028	45.779258	12.2
430	12.2	78.534584	0.0	568.54087	78.534584	0.0	78.534584	0.0	568.54087	12.19899	45.756616	12.2
440	12.2	75.000022	0.0	608.39254	75.000022	0.0	75.000022	0.0	608.39254	12.198951	45.744986	12.2
450	12.2	75.0	0.0	651.98926	75.0	0.0	75.0	0.0	651.98926	12.198908	45.733402	12.2
460	12.2	75.0	0.0	612.93862	75.0	0.0	75.0	0.0	612.93862	12.198866	45.721817	12.2
470	12.2	75.0	0.0	577.18407	75.0	0.0	75.0	0.0	577.18407	12.198826	45.710233	12.2
480	12.2	75.0	0.0	531.29066	75.0	0.0	75.0	0.0	531.29066	12.198788	45.698649	12.2
490	12.2	191.49693	0.0	517.45047	191.49693	0.0	191.49693	0.0	517.45047	12.198753	45.683295	12.2
500	12.2	305.7786	0.0	548.38812	305.7786	0.0	305.7786	0.0	548.38812	12.544283	45.643433	12.2
510	12.2	347.86379	0.0	644.79095	347.86379	0.0	347.86379	0.0	644.79095	12.463814	45.59242	12.2
520	12.2	280.6998	0.0	664.93738	280.6998	0.0	280.6998	0.0	664.93738	12.445843	45.542848	12.2
530	12.2	234.64706	0.0	639.43375	234.64706	0.0	234.64706	0.0	639.43375	12.465954	45.503615	12.2
540	12.2	217.5351	0.0	591.73021	217.5351	0.0	217.5351	0.0	591.73021	12.505654	45.46891	12.2
550	12.2	150.6993	0.0	565.68518	150.6993	0.0	150.6993	0.0	565.68518	12.198717	45.439941	12.2
560	12.2	110.47711	0.0	558.21786	110.47711	0.0	110.47711	0.0	558.21786	12.19868	45.420268	12.2
570	12.2	75.000407	0.0	605.39738	75.000407	0.0	75.000407	0.0	605.39738	12.198641	45.407947	12.2
580	12.2	75.0	0.0	636.82197	75.0	0.0	75.0	0.0	636.82197	12.198599	45.396363	12.2
590	12.2	75.0	0.0	623.59877	75.0	0.0	75.0	0.0	623.59877	12.198556	45.384778	12.2
600	12.2	75.0	0.0	807.88514	75.0	0.0	75.0	0.0	807.88514	12.198516	45.373194	12.2
610	12.2	222.87464	0.0	747.49164	222.87464	0.0	222.87464	0.0	747.49164	12.278998	45.352713	12.2
620	12.2	304.68299	0.0	754.11312	304.68299	0.0	304.68299	0.0	754.11312	12.372359	45.310958	12.2
630	12.2	335.0324	0.0	797.44468	335.0324	0.0	335.0324	0.0	797.44468	12.336843	45.26117	12.2
640	12.2	272.50133	0.0	837.64638	272.50133	0.0	272.50133	0.0	837.64638	12.302666	45.213367	12.2
650	12.2	230.46457	0.0	837.75696	230.46457	0.0	230.46457	0.0	837.75696	12.301251	45.17504	12.2
660	12.2	214.84843	0.0	762.46287	214.84843	0.0	214.84843	0.0	762.46287	12.36324	45.140847	12.2
670	12.2	254.8408	0.0	719.03768	254.8408	0.0	254.8408	0.0	719.03768	12.399936	45.105107	12.2
680	12.2	281.36532	0.0	712.19615	281.36532	0.0	281.36532	0.0	712.19615	12.406941	45.063369	12.2
690	12.2	291.21728	0.0	748.22675	291.21728	0.0	291.21728	0.0	748.22675	12.377817	45.019024	12.2
700	12.2	285.46526	0.0	794.00312	285.46526	0.0	285.46526	0.0	794.00312	12.33934	44.974347	12.2
710	12.2	280.92755	0.0	869.32062	280.92755	0.0	280.92755	0.0	869.32062	12.275318	44.93066	12.2
720	12.2	279.23892	0.0	838.06558	279.23892	0.0	279.23892	0.0	838.06558	12.300334	44.887421	12.2
730	12.2	307.48285	0.0	790.85266	307.48285	0.0	307.48285	0.0	790.85266	12.339824	44.842407	12.2
740	12.2	325.32783	0.0	771.092	325.32783	0.0	325.32783	0.0	771.092	12.357478	44.793315	12.2
750	12.2	331.95205	0.0	796.95147	331.95205	0.0	331.95205	0.0	796.95147	12.337065	44.74247	12.2
760	12.2	305.82958	0.0	805.86072	305.82958	0.0	305.82958	0.0	805.86072	12.329681	44.692896	12.2
770	12.2	288.84394	0.0	831.54921	288.84394	0.0	288.84394	0.0	831.54921	12.307183	44.647179	12.2
780	12.2	282.53649	0.0	811.6057	282.53649	0.0	282.53649	0.0	811.6057	12.322582	44.603132	12.2
790	12.2	140.37111	0.0	764.3644	140.37111	0.0	140.37111	0.0	764.3644	12.198444	44.569092	12.2
800	12.2	75.002377	0.0	733.25874	75.002377	0.0	75.002377	0.0	733.25874	12.198393	44.555442	12.2
810	12.2	75.0	0.0	760.11772	75.0	0.0	75.0	0.0	760.11772	12.198342	44.543857	12.2
820	12.2	126.53668	0.0	805.95088	126.53668	0.0	126.53668	0.0	805.95088	12.19829	44.531841	12.2
830	12.2	226.71071	0.0	841.84937	226.71071	0.0	226.71071	0.0	841.84937	12.296891	44.502371	12.2
840	12.2	257.10203	0.0	834.80888	257.10203	0.0	257.10203	0.0	834.80888	12.303529	44.464621	12.2
850	12.2	328.50718	0.0	791.30241	328.50718	0.0	328.50718	0.0	791.30241	12.339201	44.41986	12.2
860	12.2	370.32859	0.0	702.31748	370.32859	0.0	370.32859	0.0	702.31748	12.41404	44.365372	12.2
870	12.2	385.83778	0.0	702.62692	385.83778	0.0	385.83778	0.0	702.62692	12.415107	44.306777	12.2
880	12.2	359.70977	0.0	742.93652	359.70977	0.0	359.70977	0.0	742.93652	12.382261	44.248806	12.2
890	12.2	341.87642	0.0	786.18358	341.87642	0.0	341.87642	0.0	786.18358	12.345703	44.194843	12.2
900	12.2	335.25037	0.0	792.60697	335.25037	0.0	335.25037	0.0	792.60697	12.339045	44.142633	12.2
910	12.2	209.28622	0.0	775.91941	209.28622	0.0	209.28622	0.0	775.91941	12.33046	44.099365	12.2
